model,TP,FN,TN,FP,auc_roc,auc_pr,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,hss,val_hss,tss,val_tss,recall,val_recall,precision,val_precision,f1,val_f1,acc,val_acc,num_train_inst,far,loss,val_far,val_loss,TP_epc,FN_epc,TN_epc,FP_epc,auc_roc_epc,auc_pr_epc,val_TP_epc,val_FN_epc,val_TN_epc,val_FP_epc,val_auc_roc_epc,val_auc_pr_epc,hss_epc,val_hss_epc,tss_epc,val_tss_epc,recall_epc,val_recall_epc,precision_epc,val_precision_epc,f1_epc,val_f1_epc,acc_epc,val_acc_epc,num_train_inst_epc,far_epc,loss_epc,val_far_epc,val_loss_epc,loss_std,TP_std,FN_std,TN_std,FP_std,auc_roc_std,auc_pr_std,val_loss_std,val_TP_std,val_FN_std,val_TN_std,val_FP_std,val_auc_roc_std,val_auc_pr_std,hss_std,val_hss_std,tss_std,val_tss_std,far_std,val_far_std,recall_std,val_recall_std,precision_std,val_precision_std,f1_std,val_f1_std,acc_std,val_acc_std,num_train_inst_std,loss_min,TP_min,FN_min,TN_min,FP_min,auc_roc_min,auc_pr_min,val_loss_min,val_TP_min,val_FN_min,val_TN_min,val_FP_min,val_auc_roc_min,val_auc_pr_min,hss_min,val_hss_min,tss_min,val_tss_min,far_min,val_far_min,recall_min,val_recall_min,precision_min,val_precision_min,f1_min,val_f1_min,acc_min,val_acc_min,num_train_inst_min,loss_max,TP_max,FN_max,TN_max,FP_max,auc_roc_max,auc_pr_max,val_loss_max,val_TP_max,val_FN_max,val_TN_max,val_FP_max,val_auc_roc_max,val_auc_pr_max,hss_max,val_hss_max,tss_max,val_tss_max,far_max,val_far_max,recall_max,val_recall_max,precision_max,val_precision_max,f1_max,val_f1_max,acc_max,val_acc_max,num_train_inst_max,mcc,mcc_min,mcc_max,mcc_std,mcc_epc,val_mcc,val_mcc_min,val_mcc_max,val_mcc_std,val_mcc_epc
C+_mpf_Persistant_24,14.711339569091797,1.6629363536834716,13.423087310791017,2.161726903915405,0.8769444942474365,0.8484941363334656,6.6031999588012695,1.044800007343292,7.073599910736084,1.2656000018119813,0.8554757475852967,0.8242026925086975,0.7603265638365375,0.7106704134276709,0.7597359765368159,0.7116437831245381,0.8984462950033529,0.8633891201927142,0.8719152925907838,0.8397478717281274,0.8849390139015393,0.8503024213520763,0.8803280143388867,0.8554757321439939,328000.0,0.128084707409216,0.6646919488906861,0.1602521282718726,2.2165810108184814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0.0492930447874448,0.1643608492981406,0.170876277877636,0.0903760949931707,0.0805991678687949,0.005171993824079,0.0059854569646413,0.313245388815662,0.4152793416503801,0.4152794006235755,0.170938135824983,0.178627651582425,0.0204240666373081,0.0231565087824391,0.0076463625832304,0.0415660364109039,0.0074277829738054,0.0432724835518621,0.003359215780589,0.014888890639218,0.010398774549545,0.0542990842845622,0.003359215780589,0.014888890639218,0.0043601018495267,0.0258240662530674,0.0038520973413927,0.0204240677056631,150.0,0.5715776681900024,14.526829719543455,1.3527981042861938,13.27493953704834,2.0609755516052246,0.8700198531150818,0.8405035734176636,1.6955962181091309,5.855999946594238,0.5199999809265137,6.831999778747559,0.9760000109672546,0.8266533017158508,0.7919026613235474,0.7471076468885716,0.6511885270115293,0.7467279420696809,0.6483826739876011,0.1234658073436717,0.1428571453498095,0.8868374052317127,0.7656903693951098,0.8672852460468088,0.8157894794171903,0.877948114360873,0.8088397738930725,0.8736938447359966,0.8266533011113388,327825.0,0.7011677026748657,15.009732246398926,1.853658556938172,13.536585807800291,2.296837091445923,0.8857142925262451,0.8586611747741699,2.658632516860962,7.127999782562256,1.7920000553131104,7.343999862670898,1.5119999647140503,0.8894447088241577,0.8630215525627136,0.7709527947996571,0.7793458266977467,0.7698234141661966,0.7824398172019886,0.1327147539531912,0.1842105205828096,0.9173234166542248,0.932008368592142,0.8765341926563283,0.8571428546501905,0.8916028278304265,0.8896654983823685,0.8857142821946437,0.88944472183166,328225.0,0.7607863102414248,0.747268831044856,0.7723094638581935,0.0079968818190369,0.0,0.7126300188927456,0.6546588295652027,0.782582671559464,0.0415397275587925,0.0
C+_mpf_PTx8_RtdXall_ProgPos_AW1e5D1e4_0193x0211x0094_24,8.14650230407715,0.4067220866680145,7.757802009582519,7.726155567169189,0.9987287402153016,0.998486852645874,7.575682735443115,1.46413916349411,7.014706707000732,8.198824310302735,0.8818735003471374,0.8674616336822509,0.9847215188058772,0.6644973897325216,0.9846625793307416,0.6671638103687119,0.998167669468268,0.9989230330882872,0.99110895580853,0.8242903483530839,0.992529891649059,0.8306153986794775,0.9923645036721226,0.8319565884800142,328000.0,0.0088910441914701,0.0089240515604615,0.1757096516469162,0.5055690467357635,0,6,23,0,23,23,0,23,24,0,7,7,23,7,23,7,0,0,23,24,23,7,23,7,24,23,23,24,7,0.0006836644756194,0.01361082823554,0.0283021570125124,0.0141594541663119,0.030834183986712,0.0002537094131599,0.0003442091550839,0.0306978496580691,0.0453376305894449,0.624440545234985,0.1230855542068085,0.10653646623696,0.0155849829515567,0.0145802519029781,0.00114031956621,0.0522165505335296,0.0011424667553516,0.052411676843763,0.0008433414430603,0.0137732821096558,0.0010871592049517,0.0011716345338299,0.0008433414430603,0.0137732821096558,0.0005592340709329,0.0275881560287623,0.0005699369791593,0.0260919742056669,150.0,0.008044465444982,8.12125015258789,0.3677018582820892,7.733499526977539,7.667496681213379,0.998309850692749,0.9978881478309632,0.461840957403183,7.524590015411377,0.5691056847572327,6.788618087768555,8.024590492248535,0.855316162109375,0.8443231582641602,0.9834272074396307,0.5813162194557951,0.983356299921895,0.5816375362234834,0.0080510405299514,0.1498335258514441,0.9963431359110616,0.996791443938322,0.9899051695680864,0.8120155034629433,0.9918773945433372,0.7827026995333553,0.9917168083677126,0.7909516356081135,327825.0,0.0101189790293574,8.157764434814453,0.4519350826740265,7.773749828338623,7.757802963256836,0.9990646243095398,0.9988990426063538,0.5498166680335999,7.653225898742676,2.471074342727661,7.153225898742676,8.357723236083984,0.8996591567993164,0.8866896033287048,0.986571540127918,0.7176336793015027,0.9864956700235066,0.7211393702731448,0.0100948304319135,0.1879844965370567,0.9993912646934467,1.0,0.9919489594700484,0.8501664741485558,0.993436116239884,0.8588832513001274,0.9932891141231754,0.8584521414882967,328225.0,0.984726402012398,0.9834353328256312,0.9865784677015274,0.0011397605676387,23.0,0.6677419859255262,0.5813616257358954,0.721364335917722,0.0519996485910892,7.0
C+_mpf_FD_RtdX3_ProgPos_AW1e3D1e4_0193x0211x0094_24,7.715125179290771,0.580871331691742,6.075805950164795,3.776493644714356,0.924164092540741,0.9115007877349852,6.7216105461120605,2.438980144262314,7.097165966033936,2.139751505851746,0.8876548886299134,0.8743234872817993,0.7236705062037349,0.6405132506447497,0.7212199294732102,0.6448498492952714,0.9453120555270464,0.8863899462203543,0.814742395140077,0.8177357518993607,0.8751721397180452,0.8212329112707746,0.8623634816411025,0.819638437430282,157440.0,0.185257604859923,0.1038912087678909,0.1822642481006394,0.4566260814666748,11,0,11,0,11,11,2,0,5,2,6,6,11,3,11,3,11,2,11,5,11,3,11,3,11,11,11,5,6,0.0082900000048242,0.0239431424472198,0.045423459067558,0.0699719453728543,0.2722716303219105,0.0067898058913059,0.0083162384176837,0.0648225882589644,0.2217116624251547,2.668027277030624,0.4855730428529006,0.591623142078938,0.0255888521262603,0.0304095371532705,0.0092386459923467,0.0521266780748547,0.0093271550830029,0.0552988934358248,0.0059282305879423,0.050990322324732,0.0025977682542738,0.031278502115039,0.0059282305879423,0.050990322324732,0.003746411666041,0.0364998231936855,0.0045793786217593,0.0251479460771878,72.0,0.0961717218160629,7.682896614074707,0.5273631811141968,5.991261005401611,3.367372274398804,0.9133440852165222,0.8985617756843567,0.3791110515594482,6.355371952056885,0.1557376980781555,6.371901035308838,1.3983739614486694,0.8382181525230408,0.818160891532898,0.7082597813038387,0.5406448101602601,0.7057815208666458,0.5384284431983379,0.1799207346375818,0.1026615986678369,0.9411224958089796,0.8367791065473325,0.8064473940068276,0.751599139350692,0.8685956294043812,0.7489994310927951,0.8547015260059585,0.7717108689808283,157356.0,0.1157369762659072,7.749068260192871,0.6504369378089905,6.164999961853027,4.145341396331787,0.930924952030182,0.9199400544166564,0.565504252910614,6.942623138427734,7.430894374847412,7.806451797485352,3.15702486038208,0.9100489616394044,0.9027386903762816,0.7319253049219545,0.6874490944230419,0.7299036722863739,0.6916756248932001,0.1935526059931724,0.248400860649308,0.9493227800280956,0.9216539722249856,0.8200792653624182,0.897338401332163,0.8782627182647362,0.8459302375714486,0.866374932769062,0.8432073471095745,157548.0,0.733656429728808,0.7188597976305693,0.741014096760309,0.0084751524002445,11.0,0.6512618751869879,0.5430045629778487,0.6938137065442048,0.0558444761341321,3.0
C+_mpf_FD_RtdX3_ProgPos_AW1e3D1e4_blos_24,7.703638076782227,0.6546888828277588,5.629280090332031,3.734366226196289,0.9008065819740296,0.8860770702362061,6.935607433319092,2.0754810214042663,6.7733992576599125,3.349861717224121,0.8811700463294982,0.8638414025306702,0.6649465234401521,0.6305273515540033,0.6613368862213567,0.6339872170287668,0.9387922929898004,0.9066770931422866,0.7813371416639507,0.8068162535478315,0.8525831386363585,0.8155921598700131,0.8334993061453263,0.8146750705195196,157440.0,0.2186628583360493,0.1212184101343154,0.1931837464521684,0.5113860726356506,10,0,11,0,11,11,4,2,9,1,11,11,11,7,11,7,10,4,11,10,11,7,11,7,11,11,11,10,11,0.0069598266263355,0.0312790287887605,0.0198131833103586,0.0621114336298333,0.3229201846784156,0.0066898922570308,0.0081536669880303,0.0931335892345754,0.7782618680100273,1.8809583704792152,0.6850050242996674,2.2610221546560227,0.0277085446346914,0.0322017122491943,0.0098013367920392,0.0520891009610346,0.0097845739966881,0.0537473743882031,0.0055787772261256,0.0382522847232754,0.0048816588783555,0.1055248768800176,0.0055787772261256,0.0382522847232754,0.0040412513052841,0.0351833897278727,0.0048644069316079,0.0256084069481493,72.0,0.1149085834622383,7.669975280761719,0.6175742745399475,5.54802942276001,3.392326831817627,0.8910972476005554,0.8751882314682007,0.4164186716079712,5.425000190734863,0.1869918704032898,6.04878044128418,1.7166666984558103,0.8266453742980957,0.8011293411254883,0.6491026958565744,0.5333812837177146,0.6454601488591005,0.5315738021719318,0.211589439052927,0.1294718929222896,0.933836859827966,0.7000000030763687,0.7746113967362972,0.7710843238619354,0.8457472328736167,0.7460136713228891,0.8256652913699548,0.7677083313465118,157356.0,0.1314263939857483,7.762315273284912,0.6724137663841248,5.69430685043335,4.277093410491943,0.90754234790802,0.8944588303565979,0.6793978810310364,7.556451797485352,5.27419376373291,7.815999984741211,7.829268455505371,0.9039892554283142,0.8929300308227539,0.6760649374703084,0.6699400084318247,0.6722324545360803,0.6732173191616118,0.2253886032637028,0.2289156761380646,0.9476770405688788,0.9904862584391346,0.788410560947073,0.8705281070777103,0.857240910308881,0.8414929719796692,0.839084019814338,0.8352644863047217,157548.0,0.6797397796867418,0.6635055910895579,0.68973403979957,0.0093122292184067,11.0,0.6419347629667089,0.5365669957583286,0.67887420688198,0.053322902906214,7.0
C+_mpf_FD_Ptrd_ProgPos_Am1e3_blos_24,7.804128932952881,0.5392546713352203,5.164560317993164,3.4334741115570067,0.8698718786239624,0.8496650695800781,6.587405872344971,1.7106969475746154,6.888250064849854,2.081646585464477,0.8808788537979126,0.864721667766571,0.6092338547527065,0.6297321135080953,0.6049364411957974,0.6318540358991918,0.9510345598196932,0.8612087486622914,0.7468553674687208,0.8134425713142631,0.832938321984187,0.808082416349119,0.806139273983845,0.8148239731656609,131200.0,0.253144632531279,0.1487046152353286,0.1865574286857367,0.466139680147171,0,1,8,0,8,8,0,9,9,0,1,1,8,8,8,8,0,0,8,9,8,8,8,8,9,8,9,9,1,0.0053946038849876,0.0375858723752265,0.0648861822625567,0.1199613745244995,0.0791372667769995,0.0046692976996452,0.0042137412492455,0.1043571973999323,0.8739753138278712,1.0614852040341074,0.551915704846269,0.6761558092630653,0.0430315979422021,0.0502572273165562,0.0193414340064032,0.0774073659997752,0.0195296901569223,0.079897440867165,0.00896116363524,0.042536090212136,0.0048079638042689,0.1177493914499982,0.00896116363524,0.042536090212136,0.0074296377428668,0.0556998684682592,0.0094904887116218,0.0377784969107275,60.0,0.1433397382497787,7.75990104675293,0.4408867061138153,5.068238258361816,3.3613860607147217,0.8648782968521118,0.8451674580574036,0.3648988604545593,5.125,0.4471544623374939,6.0731706619262695,1.1333333253860474,0.7996900677680969,0.7711395025253296,0.5922861013777314,0.4902952322175835,0.5878728525307801,0.4864450821823369,0.235635656892256,0.1358024756899928,0.9469788507414568,0.6612903225806451,0.7394416626215726,0.7553648081633695,0.8262898289493473,0.7004323572968483,0.7978120878884256,0.747395824602184,131130.0,0.1561205089092254,7.863300323486328,0.6439206004142761,5.399014949798584,3.5812807083129883,0.8775587677955627,0.8555895090103149,0.6593313217163086,7.390244007110596,3.616666555404663,7.574999809265137,2.7560975551605225,0.9168967008590698,0.9095484614372252,0.6463951348542559,0.7228211307572141,0.642438991280907,0.7244803205905619,0.2605583373784274,0.2446351918366305,0.960006013668762,0.9721925128532364,0.7643643431077439,0.8641975243100072,0.8471645005666326,0.8583204555128914,0.8243857392137861,0.8613911303184596,131290.0,0.6326611400419377,0.6161606057507919,0.66770549277708,0.0183991919023932,8.0,0.6400035032407376,0.5172593595674765,0.7000175346989853,0.0639586753048174,6.0
C+_mpf_PTx8_RtdXall_ProgPos_AW4e6D4e3_blos_24,8.196792793273925,0.447621476650238,7.32589635848999,7.728941440582275,0.9819222688674928,0.9816450834274292,7.628157615661621,1.523875653743744,6.733831119537354,8.274040603637696,0.8571706771850586,0.8372957706451416,0.9042024736893352,0.6167871984811552,0.9037535431539871,0.6185674128747599,0.998883200139636,0.996591806082784,0.9451777708228946,0.7963739773388981,0.9538166136689638,0.8078601435952976,0.952158604022742,0.8082799201138338,328000.0,0.0548222291771053,0.0474714808166027,0.2036260226611018,0.554460084438324,0,13,24,0,24,24,0,23,17,0,17,17,24,15,24,16,0,0,24,17,24,13,24,15,24,24,24,17,9,0.0037846743664145,0.0145042392319764,0.0418240785171697,0.0450929165463065,0.0237845212184846,0.002960189699981,0.0029634499798064,0.0462085267018538,0.0484236122029776,0.5366471091288081,0.299032627824856,0.0892018286723386,0.0164919563507032,0.0144071916818317,0.0097133690451481,0.0483431608447818,0.009730485802869,0.0416813139349342,0.0052222047551634,0.0231646540644994,0.0005622796410307,0.0032101371226696,0.0052222047551634,0.0231646540644994,0.0046600125824709,0.026870975226075,0.0048493609139749,0.0240464480715607,150.0,0.0434454008936882,8.178217887878418,0.3731527030467987,7.251861095428467,7.691831588745117,0.9767608642578124,0.9765578508377076,0.5037274360656738,7.552000045776367,0.6854838728904724,6.335999965667725,8.149999618530273,0.8278238773345947,0.8147127628326416,0.8875137828704452,0.5409194740391078,0.8870483921289325,0.5505376329491063,0.0478596888110326,0.1674528323500506,0.9980365502892868,0.9913978490881568,0.9371293051042764,0.770168847771748,0.9458246060160116,0.7633744855815666,0.9438280725984866,0.7708333375242848,327825.0,0.0533012077212333,8.219058990478516,0.4975185990333557,7.37561559677124,7.757389068603516,0.9848679304122924,0.984777808189392,0.6366687417030334,7.683333396911621,2.04878044128418,7.235772132873535,8.373983383178711,0.8737325668334961,0.8531074523925781,0.9142555752681382,0.6921654104557172,0.913805439231698,0.6820381471139179,0.0628706948957234,0.229831152228252,0.9996992933616016,1.0,0.9521403111889674,0.8325471676499494,0.9586063119441744,0.8475401859928124,0.9571747656837624,0.8457661317060551,328225.0,0.9043725890284666,0.887678534867469,0.9144393633998006,0.0097081447563412,24.0,0.6194830146252159,0.5410372825494891,0.6950199566034346,0.048831703050045,15.0
C+_mpf_FD_Ptrd_ProgPos_AW2e4D4e3_blos_24,7.898127841949463,0.8663570642471313,5.622276592254639,5.3236165046691895,0.93611421585083,0.931393814086914,7.652782154083252,1.236217552423477,5.90724925994873,8.170463466644287,0.8228248953819275,0.7991428017616272,0.6856858234511938,0.612748386538352,0.6815703629582432,0.6183109461482008,0.962485912247705,0.9997885835192178,0.7849309370817783,0.7424993439551565,0.8633090625026834,0.8168939012163051,0.8439078004154166,0.8050140241663156,328000.0,0.2150690629182216,0.1069033935666084,0.2575006560448435,1.1975597739219666,20,0,23,0,24,24,1,10,19,2,19,13,23,19,23,19,20,1,23,19,23,19,23,19,24,23,24,19,0,0.0087716299718381,0.040029789470068,0.1165867074916714,0.2446755342654556,0.5668945520955017,0.0093013080363923,0.0092507613901301,0.4943235297902382,0.0644754592780929,2.074445056560228,0.1892199145163825,0.3055396324259763,0.023030873694691,0.0543701277055605,0.0379999103006336,0.0412160084443794,0.0380965271223771,0.0425961594937402,0.0204437047925153,0.0141442340915021,0.0043553326010096,0.0004228329615642,0.0204437047925153,0.0141442340915021,0.0150482906671727,0.0199316628643333,0.0188029167360467,0.0204603195903804,150.0,0.0907890126109123,7.826354503631592,0.6908866763114929,5.222906589508057,4.301488876342773,0.9215849041938782,0.9181244373321532,0.6715067625045776,7.584000110626221,0.0241935476660728,5.634146213531494,7.569105625152588,0.7805362939834595,0.7011807560920715,0.62047667495208,0.5352696897444532,0.6163971666442487,0.5380253963595556,0.1922882454442137,0.2430313644253062,0.9554954128038132,0.9989429175960894,0.750685589589504,0.7215073404698326,0.837345394785431,0.7779980073924836,0.8115997903854454,0.7666666564842064,327825.0,0.11721683293581,7.939206123352051,1.0570719242095947,5.890819072723389,6.040640354156494,0.9481427669525146,0.9437463283538818,2.120804071426392,7.75,5.375999927520752,6.088709831237793,8.390243530273438,0.8474347591400146,0.8429095149040222,0.726446223808206,0.6458929224841483,0.7224833188935684,0.652307464826885,0.2493144104104959,0.2784926595301674,0.9679322365487264,1.0,0.8077117545557863,0.7569686355746937,0.8794218836171114,0.8317490550695389,0.8640701379613094,0.8215725864922147,328225.0,0.7046462240736371,0.644289756446937,0.7416459792711088,0.0349239719085463,23.0,0.6275435088169058,0.5426074305773076,0.6609251678388371,0.0439302931500032,19.0
C+_mpf_PTx8_RtdXall_ProgPos_AW1e5D1e4_b_blos_24,8.186885833740234,0.4889308750629425,7.683387184143067,7.667237186431885,0.9967416524887084,0.9965428829193116,7.646317386627198,2.108957278728485,6.723515892028809,8.133245754241944,0.862184464931488,0.8500680446624755,0.9732038940451456,0.609459336906651,0.9732437578134157,0.6127692960789548,0.9976771827319068,0.9989404303150564,0.9877026788635124,0.7938235499716205,0.9869429223396268,0.8074550243153776,0.9866106569582692,0.8040332057394712,328000.0,0.0122973211364874,0.0160828661173581,0.2061764500283795,0.5101227939128876,0,7,24,0,24,24,0,3,20,0,7,7,24,5,24,5,0,0,24,17,24,5,24,5,24,24,24,17,7,0.0016500269097638,0.0116095297448051,0.0390961246886168,0.0138078692071586,0.0727955914244348,0.000649662124376,0.0006906063171146,0.0363715712157269,0.0687009710888406,1.299248677118865,0.3321982256328687,0.2827482388384587,0.0220301499381102,0.0203816759455978,0.0035265012793216,0.054045125071653,0.0035296080298831,0.0545424977433384,0.0019144959414034,0.0356219072881602,0.0013355951466445,0.0016376326200819,0.0019144959414034,0.0356219072881602,0.0017318862979925,0.0292947684526103,0.0017627864492441,0.0270103016738468,150.0,0.0140596367418766,8.173267364501953,0.4285714328289032,7.663771629333496,7.5569305419921875,0.9956769347190856,0.9953932762145996,0.4632289707660675,7.584000110626221,0.5920000076293945,6.263999938964844,7.577235698699951,0.8319862484931946,0.8270235061645508,0.9683998330570666,0.5439752107541369,0.9684298378933192,0.5435320898032032,0.0093486124122835,0.1714579033471331,0.9957888405274228,0.9957716702646044,0.9851807047616798,0.729059824596774,0.9845851592653272,0.7618528558864348,0.9842093038710176,0.7723958309351777,327825.0,0.0186363719403743,8.20471477508545,0.53722083568573,7.703201770782471,7.759852409362793,0.9974961876869202,0.9972861409187316,0.5692269802093506,7.75,3.5322580337524414,7.154471397399902,8.362903594970703,0.8905433416366577,0.8808853030204773,0.978167076096216,0.7040716991043445,0.9782411843889895,0.7066443493326915,0.0148192952383201,0.270940175403226,0.9993985867021584,1.0,0.9906513875877164,0.8285420966528669,0.989383329913409,0.8507614254486422,0.989091753169065,0.8518145192008946,328225.0,0.9732065542250178,0.9684005766306892,0.9781704650743744,0.0035266272595595,24.0,0.6165511873324154,0.5441604208206146,0.7062517563203173,0.054086325033059,5.0
