epoch;TP;FN;TN;FP;hss;tss;tpr;tnr;ppv;npv
0;8,157764435;0,004968944;0,089440994;7,740372658;0,011036751;0,010814397;;;;
1;8,08571434;0,077018633;0,565217376;7,264596462;0,063949577;0,062752446;;;;
2;8,019875526;0,142857149;1,58385098;6,24596262;0,187768149;0,184783492;;;;
3;7,927950382;0,234782606;3,296894312;4,532919407;0,396747941;0,392306572;;;;
4;7,90931654;0,253416151;5,142857075;2,686956406;0,62977618;0,625784584;;;;
5;7,840993881;0,321739137;6,229813576;1,600000024;0,75876333;0,756237245;;;;
6;7,795031071;0,367701858;6,691925526;1,137888193;0,811253289;0,809625965;;;;
7;7,82857132;0,33416149;6,941615105;0,888198733;0,84684649;0,845624507;;;;
8;7,842236042;0,320496887;7,145341396;0,684472024;0,874146545;0,873317882;;;;
9;7,87950325;0,283229828;7,280745506;0,549068332;0,895796972;0,895176747;;;;
10;7,903105736;0,259627342;7,373912811;0,455900609;0,910432741;0,909967335;;;;
11;7,942857265;0,219875783;7,486956596;0,342857152;0,929572533;0,929274788;;;;
12;7,971428394;0,191304341;7,525465965;0,304347813;0,937969469;0,937693312;;;;
13;7,970186234;0,192546591;7,554037094;0,275776386;0,941394248;0,941190181;;;;
14;8,008695602;0,154037267;7,597515583;0,232298136;0,951654767;0,951460792;;;;
15;8,027329445;0,135403723;7,649689674;0,180124223;0,96051892;0,960407045;;;;
16;8,055900574;0,106832296;7,696894646;0,132919252;0,970002053;0,969936148;;;;
17;8,070807457;0,091925465;7,701863289;0,127950311;0,972488216;0,972396971;;;;
18;8,080745697;0,081987575;7,710558891;0,119254656;0,974819643;0,974725025;;;;
19;8,090682983;0,072049692;7,719254494;0,110559009;0,977151081;0,977053076;;;;
20;8,099378586;0,063354038;7,751552582;0,078260869;0,98228152;0,982243383;;;;
21;8,096894264;0,065838508;7,730434895;0,099378884;0,979327437;0,979241888;;;;
22;8,108074188;0,054658387;7,752795219;0,077018633;0,983524602;0,983467325;;;;
23;8,111801147;0,050931677;7,763975143;0,065838508;0,985390026;0,985351768;;;;
24;8,110559464;0,052173913;7,747826099;0,081987575;0,983213421;0,983137075;;;;